baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,series_id,spike_recall,window_index
auto_arima,666,693.9659851881394,0.8687764741078063,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,1.0,0,0,0.32572265625000574,0.19114330830748788,666,18,190.18147786458334,0.23808831744831233,timesfm_2_5,666,0,0.6742773437499943,external_locked,0.27405014355714197,226.55658214536945,external_v1_timesfm_m4_monthly_m_short_1784618094,5,0.3333333333333333,0
auto_ets,822,196.68441196414733,0.255018633885272,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,0.9444444444444444,0,0,0.2579857610887164,0.5008128365514528,822,18,194.120361328125,0.2516941167876473,timesfm_2_5,822,0,0.7420142389112836,external_locked,0.9869636306689586,223.38833142100958,external_v1_timesfm_m4_monthly_m_short_1784618094,8,0.6666666666666666,0
naive,618,438.22222222222223,0.7738014103951095,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,0.8333333333333334,0,0,0.0,1.165869831651439,618,18,107.79758029513889,0.1903461655745504,timesfm_2_5,618,0,1.0697639244976938,external_locked,0.2459883931684198,131.33206116900098,external_v1_timesfm_m4_monthly_m_short_1784618094,10,1.0,0
auto_ets,918,20.3715457156717,0.2943245081756456,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,1.0,0,1,0.4267249230894288,0.2503856640327971,918,18,26.176500108506943,0.37819346787559205,timesfm_2_5,918,0,0.5732750769105712,external_locked,1.2849540468776626,32.549155748632785,external_v1_timesfm_m4_monthly_m_short_1784618094,11,0.6666666666666666,0
naive,918,14.205552842881945,0.19731931717259532,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,1.0,0,0,0.0,0.922874474509399,918,18,11.7159423828125,0.16273789387707,timesfm_2_5,918,0,1.0311274897595244,external_locked,0.8247438528013535,15.28416343946298,external_v1_timesfm_m4_monthly_m_short_1784618094,12,0.3333333333333333,0
auto_arima,726,94.97099428455896,0.5101081978925311,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,0.9444444444444444,0,0,0.0,0.9510839306175508,726,18,12.65212673611111,0.06795710224458373,timesfm_2_5,726,0,1.0163728098541782,external_locked,0.13322095689765825,16.996762554905448,external_v1_timesfm_m4_monthly_m_short_1784618094,13,1.0,0
auto_arima,726,3.2516426870921955,0.05324271746139787,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,0.8888888888888888,0,1,0.03404814723538918,1.0778533533172934,726,18,10.8427734375,0.17754063966573638,timesfm_2_5,726,0,0.9659518527646108,external_locked,3.3345525572469623,11.94169645241401,external_v1_timesfm_m4_monthly_m_short_1784618094,14,0.6666666666666666,0
naive,726,332.3888888888889,0.6369381647159413,rolling_pre_origin,18,512,m4_monthly/M/short,Econ/Fin,0.8888888888888888,0,0,0.0,1.156732669045715,726,18,54.10487196180556,0.10367812824532535,timesfm_2_5,726,0,1.0337008582407572,external_locked,0.1627758140251541,71.45014691295845,external_v1_timesfm_m4_monthly_m_short_1784618094,15,1.0,0
