baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,series_id,spike_recall,window_index
naive,2048,1.0046531111001968,0.8348484683189041,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.7291666666666666,0,1,0.9113547447664855,0.002738197987522719,139296,48,1.2732735841224592,1.0580671972353464,moirai_1_1_small,139296,1,0.08864525523351449,external_locked,1.267376341199828,2.592578949786742,external_v1_moirai_electricity_15t_short_1784518102,MT_001,0.0,0
naive,2048,4.86012327671051,0.8096697336347541,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.8125,0,0,0.5416375644811489,0.24961729730528107,139296,48,1.2728891770044963,0.21205631672564262,moirai_1_1_small,139296,0,0.45836243551885114,external_locked,0.261904709928627,1.62536722286261,external_v1_moirai_electricity_15t_short_1784518102,MT_002,0.0,0
naive,2048,0.05430060997605324,0.22480621338557275,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.9791666666666666,0,0,0.9940375786324946,5.021901532682368e-06,139296,48,0.055168564120928444,0.22839957052811236,moirai_1_1_small,139296,0,0.005962421367505406,external_locked,1.0159842429807324,0.2172992272429028,external_v1_moirai_electricity_15t_short_1784518102,MT_003,0.3333333333333333,0
naive,2048,43.23339859644572,0.7329322887170017,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.8333333333333334,0,0,0.648578953366464,0.10921455896717973,139296,48,10.514370441436768,0.17824926659118095,moirai_1_1_small,139296,0,0.351421046633536,external_locked,0.24320018279342318,13.898251855761966,external_v1_moirai_electricity_15t_short_1784518102,MT_004,0.0,0
auto_ets,2048,12.319406709638665,0.4419468135331939,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.6666666666666666,0,0,0.7014326004930547,0.0689839275852056,139296,48,9.356187462806702,0.3356441859145277,moirai_1_1_small,139296,0,0.29856739950694533,external_locked,0.7594673739836587,11.635571924474071,external_v1_moirai_electricity_15t_short_1784518102,MT_005,0.0,0
auto_arima,2048,78.62043833703677,0.7227146735340568,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.9791666666666666,0,0,0.10633647902960786,0.8741872147482085,139296,48,23.789215564727783,0.21868124274237602,moirai_1_1_small,139296,0,0.8936635209703921,external_locked,0.3025830950311655,27.83221066982301,external_v1_moirai_electricity_15t_short_1784518102,MT_006,0.0,0
auto_arima,2048,0.9373788149141339,0.4761234656043189,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.875,0,0,0.5179401436497981,0.1488880679769203,139296,48,0.6693659995992979,0.33999153214926303,moirai_1_1_small,139296,0,0.4820598563502018,external_locked,0.7140827048239823,0.9303348646084221,external_v1_moirai_electricity_15t_short_1784518102,MT_007,0.0,0
auto_ets,2048,66.64559937679611,0.6266577995920016,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.4791666666666667,0,0,0.7320198400070019,0.07447704884539844,139296,48,35.144962310791016,0.33046240043408087,moirai_1_1_small,139296,0,0.26798015999299807,external_locked,0.5273410793725543,48.455965356504855,external_v1_moirai_electricity_15t_short_1784518102,MT_008,0.0,0
auto_arima,2048,10.958328806344007,0.5145838915110634,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.9583333333333334,0,0,0.2558934450285457,0.4122383091904593,139296,48,8.313287138938904,0.39037737622250385,moirai_1_1_small,139296,0,0.7441065549714543,external_locked,0.7586272766450856,11.625729213670395,external_v1_moirai_electricity_15t_short_1784518102,MT_009,0.3333333333333333,0
auto_arima,2048,16.101560819225654,0.491869285501994,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.75,0,1,0.4325742070236077,0.1744454694160906,139296,48,17.566616535186768,0.5366236988362574,moirai_1_1_small,139296,0,0.5674257929763923,external_locked,1.0909884285385993,22.89764340917906,external_v1_moirai_electricity_15t_short_1784518102,MT_010,0.0,0
auto_arima,2048,7.879488864922105,0.43547200601500863,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.9583333333333334,0,0,0.4570934606221837,0.27172985658424914,139296,48,4.646204670270284,0.2567796087797256,moirai_1_1_small,139296,0,0.5429065393778163,external_locked,0.589658130104563,5.875871037713367,external_v1_moirai_electricity_15t_short_1784518102,MT_011,0.0,0
naive,2048,38.785460472106934,0.5833333207829707,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.875,0,0,0.596287129853638,0.11261688014038278,139296,48,30.228882948557537,0.4546423958695336,moirai_1_1_small,139296,0,0.40371287014636204,external_locked,0.7793869811161904,44.24636100909291,external_v1_moirai_electricity_15t_short_1784518102,MT_012,0.0,0
naive,2048,39.50732505321503,0.6723334007791452,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.3333333333333333,0,0,0.9319412182608976,0.004938834317894783,139296,48,39.471070885658264,0.6717164294267941,moirai_1_1_small,139296,0,0.06805878173910242,external_locked,0.999082343147532,59.94743145103656,external_v1_moirai_electricity_15t_short_1784518102,MT_013,0.0,0
naive,2048,7.072962760925293,0.41813695055618905,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.9166666666666666,0,0,0.43143403052074136,0.3345095481563759,139296,48,6.075451016426086,0.3591663984569839,moirai_1_1_small,139296,0,0.5685659694792586,external_locked,0.8589683307805837,8.34835979433643,external_v1_moirai_electricity_15t_short_1784518102,MT_014,0.0,0
naive,2048,14.236828247706095,0.6727157846357065,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.875,0,0,0.49526630182557363,0.20843346656673262,139296,48,9.603854894638062,0.45379944665799327,moirai_1_1_small,139296,0,0.5047336981744264,external_locked,0.6745782647328632,14.138105488781704,external_v1_moirai_electricity_15t_short_1784518102,MT_015,0.3333333333333333,0
auto_arima,2048,5.649039034955487,0.30138466756064286,rolling_pre_origin,48,512,electricity/15T/short,Energy,0.7708333333333334,0,0,0.33943334396500624,0.610235850785028,139296,48,5.571515917778015,0.29724869350306915,moirai_1_1_small,139296,0,0.6605666560349938,external_locked,0.9862767602243929,6.162468811695162,external_v1_moirai_electricity_15t_short_1784518102,MT_016,0.0,0
