baseline,baseline_context_length,baseline_mae,baseline_mase,baseline_mode,baseline_season_length,context_length,dataset,domain,empirical_coverage_90,excess_variance,failed,failure_delta_005,flatness_score,forecast_variance_ratio,full_context_length,horizon,mae,mase,model,origin,over_smoothing,prediction_amplitude_ratio,regime,relative_error_ratio,rmse,run_id,selector,series_id,spike_recall,window_index
auto_ets,2048,352.96076564877785,0.558251878218328,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.6875,0,0,0,0.30955567467492484,0.5501272560685097,16560,48,327.71959431966144,0.5183297886427082,chronos_bolt_small,16560,0,0.6904443253250752,external_locked,0.9284873170457869,458.19905054764166,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,1,1.0,0
auto_ets,2048,65.931463050359,0.6882418758740895,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.75,0,0,0,0.2749764137151962,0.5882468874741487,16560,48,50.96681149800619,0.5320296612546943,chronos_bolt_small,16560,0,0.7250235862848038,external_locked,0.7730271578999627,72.28825049912781,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,6,0.6666666666666666,0
auto_ets,2048,20.675380637918746,0.7208976907841221,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.8125,0,0,0,0.5061941818565752,0.33035707204767106,16560,48,15.061050037542978,0.5251403291185937,chronos_bolt_small,16560,0,0.4938058181434248,external_locked,0.7284533378756866,20.214263239707908,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,2,0.6666666666666666,0
auto_arima,2048,107.82036445143179,1.010560234911398,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7708333333333334,0,0,0,0.7663452622488934,0.06603736532399214,16560,48,76.64757323265076,0.7183892394118833,chronos_bolt_small,16560,0,0.2336547377511066,external_locked,0.7108821568413111,109.22539526145306,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,8,0.0,0
auto_ets,2048,26.23935751409465,0.7552494618681034,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7291666666666666,0,0,0,0.28355446761113057,0.5545714823545277,16560,48,16.284631093343098,0.4687217994328363,chronos_bolt_small,16560,0,0.7164455323888694,external_locked,0.6206185149386786,21.448362168363413,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,4,0.3333333333333333,0
auto_arima,2048,536.3249535283298,0.9483659377472486,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7083333333333334,0,0,0,0.24781311974435682,0.521871645326833,16560,48,302.6236623128255,0.5351195602698161,chronos_bolt_small,16560,0,0.7521868802556432,external_locked,0.5642543020270633,382.18380979386075,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,0,0.6666666666666666,0
auto_arima,2048,42.77786472020529,0.8334458254208803,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.75,0,0,0,0.31197066779945826,0.5204876452774225,16560,48,23.976267615954082,0.4671322489888615,chronos_bolt_small,16560,0,0.6880293322005417,external_locked,0.5604830388981243,30.629773304025093,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,9,0.6666666666666666,0
auto_ets,2048,104.12763345893347,0.8460040698202661,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7083333333333334,0,0,0,0.1509500631441113,0.7577339181613607,16560,48,55.257016023000084,0.448945768656294,chronos_bolt_small,16560,0,0.8490499368558887,external_locked,0.5306662044210596,73.08419157344706,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,15,0.3333333333333333,0
auto_ets,2048,95.84447121373587,0.8492758532654879,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.8125,0,0,0,0.1979261466148292,0.6353553033007234,16560,48,46.580077171325684,0.4127450888286656,chronos_bolt_small,16560,0,0.8020738533851708,external_locked,0.4859964960049737,66.76856336472265,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,11,0.6666666666666666,0
auto_ets,2048,14.176465632191801,0.7381418357910993,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.8958333333333334,0,0,0,0.22792422824587966,0.8379273209085608,16560,48,6.589021523793538,0.343077927166538,chronos_bolt_small,16560,0,0.7720757717541203,external_locked,0.46478591312850065,9.43754798797352,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,12,0.6666666666666666,0
auto_ets,2048,101.82613751140661,0.8092640042202871,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7291666666666666,0,0,0,0.22261446721568967,0.6789179848085336,16560,48,46.180412928263344,0.3670191838385921,chronos_bolt_small,16560,0,0.7773855327843103,external_locked,0.45352219044044306,62.83689952172468,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,7,0.6666666666666666,0
auto_arima,2048,72.85472502332055,0.6733736635200368,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.7916666666666666,0,0,0,0.18740620435086863,0.7284351426471467,16560,48,32.70944277445475,0.30232325090353773,chronos_bolt_small,16560,0,0.8125937956491314,external_locked,0.44896803555272663,43.78461800320544,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,14,1.0,0
auto_ets,2048,44.27335762774445,0.6857734097048698,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.8958333333333334,0,0,0,0.08606209532449727,0.8410747301866798,16560,48,18.733733018239338,0.29017668089324894,chronos_bolt_small,16560,0,0.9139379046755027,external_locked,0.4231378423058473,25.670401278551974,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,10,0.6666666666666666,0
auto_arima,2048,80.82123299760383,0.7785954969560431,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.8333333333333334,0,0,0,0.1728653728153775,0.7147303677893427,16560,48,32.41939163208008,0.3123138735032703,chronos_bolt_small,16560,0,0.8271346271846225,external_locked,0.4011246850569682,44.769529549222,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,3,0.3333333333333333,0
seasonal_naive_48,2048,102.30135909716289,1.0061794034464733,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.9583333333333334,0,0,0,0.25585568010563386,0.7080367230590398,16560,48,38.1556499004364,0.37527780074231964,chronos_bolt_small,16560,0,0.7441443198943661,external_locked,0.3729730497929836,52.35425714195073,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,5,0.6666666666666666,0
auto_arima,2048,81.25458939811529,0.795722536885795,rolling_pre_origin,48,512,M_DENSE/H/short,Transport,0.9583333333333334,0,0,0,0.1858646870634495,0.6385901638893807,16560,48,28.35608959197998,0.2776899091291767,chronos_bolt_small,16560,0,0.8141353129365505,external_locked,0.34897831374232946,39.18703970277408,external_v1_chronos_m_dense_h_short_1784453497,real_gift_eval_window,13,0.3333333333333333,0
