job_id,family,dataset,status,started_at,finished_at,elapsed_seconds,exit_code,available_ram_gb,swap_fraction,disk_free_gb,log_path,detail
external_v1_timesfm_electricity_15t_short,timesfm,electricity/15T/short,failed_artifact_contract,1783935639,1783942839,7200,124,10.086,0.6035564422122822,190.078,results\aaai_stress\external_logs\external_v1_timesfm_electricity_15t_short.log,timeout_after_7200_seconds
external_v1_timesfm_ett1_w_short,timesfm,ett1/W/short,failed_artifact_contract,1783975897,1783975917,20,0,7.807,0.6984912924349781,190.019,results\aaai_stress\external_logs\external_v1_timesfm_ett1_w_short.log,completed
external_v1_timesfm_hospital_m_short,timesfm,hospital/M/short,failed_artifact_contract,1783975925,1783975959,34,0,7.92,0.6957093590902916,190.018,results\aaai_stress\external_logs\external_v1_timesfm_hospital_m_short.log,completed
external_v1_timesfm_kdd_cup_2018_h_medium,timesfm,kdd_cup_2018/H/medium,failed_artifact_contract,1783942852,1783950052,7200,124,10.01,0.6002857091006213,190.078,results\aaai_stress\external_logs\external_v1_timesfm_kdd_cup_2018_h_medium.log,timeout_after_7200_seconds
external_v1_timesfm_m4_monthly_m_short,timesfm,m4_monthly/M/short,ok,1783975311,1783975887,576,0,8.973,0.6332505010358009,190.021,results\aaai_stress\external_logs\external_v1_timesfm_m4_monthly_m_short.log,completed
external_v1_timesfm_m4_yearly_a_short,timesfm,m4_yearly/A/short,failed_artifact_contract,1783927733,1783927779,46,0,10.055,0.6095545735361808,190.09,results\aaai_stress\external_logs\external_v1_timesfm_m4_yearly_a_short.log,completed
external_v1_timesfm_m_dense_h_short,timesfm,m_dense/H/short,failed_artifact_contract,1783950062,1783957262,7200,124,9.694,0.6213227968402253,190.071,results\aaai_stress\external_logs\external_v1_timesfm_m_dense_h_short.log,timeout_after_7200_seconds
external_v1_timesfm_restaurant_d_short,timesfm,restaurant/D/short,failed_artifact_contract,1783975989,1783977228,1239,0,7.912,0.697413329926186,190.017,results\aaai_stress\external_logs\external_v1_timesfm_restaurant_d_short.log,completed
external_v1_timesfm_sz_taxi_15t_short,timesfm,sz_taxi/15T/short,failed_artifact_contract,1783957276,1783964476,7200,124,9.904,0.6248104789577795,190.071,results\aaai_stress\external_logs\external_v1_timesfm_sz_taxi_15t_short.log,timeout_after_7200_seconds
external_v1_timesfm_temperature_rain_d_short,timesfm,temperature_rain/D/short,ok,1783927973,1783932370,4397,0,10.069,0.6061630382319692,190.089,results\aaai_stress\external_logs\external_v1_timesfm_temperature_rain_d_short.log,completed
external_v1_timesfm_us_births_m_short,timesfm,us_births/M/short,failed_artifact_contract,1783975968,1783975980,12,0,7.953,0.6956660976070718,190.018,results\aaai_stress\external_logs\external_v1_timesfm_us_births_m_short.log,completed
